name;E;N;area_daa;age;treslag;bonitet;kubikk;type
406314-2;600803;6652925;18;78;F;14;560;frøtre
404318;600602;6653469;16;76;G;17;650;flate
403318;600504;6653487;14;76;G;14;500;flate
402317;600426;6653362;4;100;G;17;150;flate
403315;600624;6653131;28;78;F;14;800;frøtre
406314-1;600826;6653268;18;75;F;14;550;frøtre
406311;600867;6652775;12;75;G;17;600;flate
404311;600637;6652810;14;76;G;17;500;flate
403310;600551;6652778;10;65;G;17;350;flate
409309-1;601170;6652510;20;68;F;17;650;frøtre
409309-2;601051;6652334;21;68;F;17;650;frøtre
409309-3;601121;6651986;24;68;F;14;750;frøtre
406304-1;600881;6652205;13;86;G;17;320;flate
406304-2;600732;6652042;10;86;G;17;260;flate
408300-1;600803;6651973;16;68;F;14;420;frøtre
406298;600803;6651539;10;60;G;20;520;flate
407298;600936;6651575;8;76;G;14;160;flate
411302;601340;6651903;22;81;G;17;650;flate
410325;601124;6654368;30;98;G;20;570;flate
410323;601202;6654021;28;69;G;17;1200;flate
412320;601443;6653721;30;98;G;14;1350;flate
408320;601083;6653692;11;70;F;17;380;flate
406321;600823;6653872;29;76;G;20;1400;flate

