E;N;vit;norsk;cat;kat;gruppe;col;size
599129.8201172816;6652542.798787984;Aegithalos caudatus;stjertmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Accipiter nisus;spurvehauk;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Anser anser;grågås;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Fringilla coelebs;bokfink;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Bombycilla garrulus;sidensvans;LC;Livskraftig;Fugler;#60beb2;1.5
599820.5689091656;6652360.753981053;Vipera berus;hoggorm;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599129.8201172816;6652542.798787984;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
599578.368754998;6652362.119646827;Glaucidium passerinum;spurveugle;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Bucephala clangula;kvinand;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Anser anser;grågås;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Emberiza citrinella;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
599859.9973104014;6652238.142523267;Anas platyrhynchos;stokkand;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Passer montanus;pilfink;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Chloris chloris;pilfink;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
599067.9567406545;6652606.206946823;Sciurus vulgaris;ekorn;LC;Livskraftig;Pattedyr;#60beb2;1.5
602905.0290611804;6654426.982935918;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599859.9973104014;6652238.142523267;Coccothraustes coccothraustes;kjernebiter;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Poecile montanus;granmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Emberiza citrinella;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600235.4985845041;6653105.16450315;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Coloeus monedula;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Sitta europaea;spettmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Chloris chloris;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Emberiza citrinella;gulspurv;NT;Nær truet;Fugler;#ed6c26;2
602667.7717874479;6654866.070131282;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599208.5109609831;6651014.654580258;Gavia arctica;storlom;LC;Livskraftig;Fugler;#60beb2;1.5
602667.7717874479;6654866.070131282;Rana temporaria;buttsnutefrosk;LC;Livskraftig;Amfibier, reptiler;#60beb2;1.5
599208.5109609831;6651014.654580258;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600609.6042390586;6653779.32068767;Periparus ater;svartmeis;LC;Livskraftig;Fugler;#60beb2;1.5
